"artist","name","birthPlace","works"
"http://dbpedia.org/resource/Miodrag_Živković_(sculptor)","Миодраг Живковић","http://dbpedia.org/resource/Kingdom_of_Yugoslavia","Tjentište"
"http://dbpedia.org/resource/Miodrag_Živković_(sculptor)","Miodrag Živković","http://dbpedia.org/resource/Kingdom_of_Yugoslavia","Kadinjača Memorial Complex"
"http://dbpedia.org/resource/Miodrag_Živković_(sculptor)","Миодраг Живковић","http://dbpedia.org/resource/Kingdom_of_Yugoslavia","Kadinjača Memorial Complex"
"http://dbpedia.org/resource/Miodrag_Živković_(sculptor)","Miodrag Živković","http://dbpedia.org/resource/Kingdom_of_Yugoslavia","The Interrupted Flight"
"http://dbpedia.org/resource/Miodrag_Živković_(sculptor)","Миодраг Живковић","http://dbpedia.org/resource/Kingdom_of_Yugoslavia","The Interrupted Flight"
"http://dbpedia.org/resource/Andrea_Bolgi","Andrea Bolgi","Carrara","Saint Helena, St. Peter's Basilica"
"http://dbpedia.org/resource/Antonio_Canova","Antonio Canova","http://dbpedia.org/resource/Republic_of_Venice",""
"http://dbpedia.org/resource/Antonio_Canova","Antonio Canova","http://dbpedia.org/resource/Republic_of_Venice","Napoleon as Mars the Peacemaker"
"http://dbpedia.org/resource/Antonio_Canova","Antonio Canova","http://dbpedia.org/resource/Republic_of_Venice","Psyche Revived by Cupid's Kiss"
"http://dbpedia.org/resource/Antonio_Canova","Antonio Canova","http://dbpedia.org/resource/Republic_of_Venice","The Three Graces"
"http://dbpedia.org/resource/Antonio_Canova","Antonio Canova","http://dbpedia.org/resource/Republic_of_Venice","Venus Victrix"
"http://dbpedia.org/resource/Antonio_Canova","Antonio Canova","http://dbpedia.org/resource/Possagno",""
"http://dbpedia.org/resource/Antonio_Canova","Antonio Canova","http://dbpedia.org/resource/Possagno","Napoleon as Mars the Peacemaker"
"http://dbpedia.org/resource/Antonio_Canova","Antonio Canova","http://dbpedia.org/resource/Possagno","Psyche Revived by Cupid's Kiss"
"http://dbpedia.org/resource/Antonio_Canova","Antonio Canova","http://dbpedia.org/resource/Possagno","The Three Graces"
"http://dbpedia.org/resource/Antonio_Canova","Antonio Canova","http://dbpedia.org/resource/Possagno","Venus Victrix"
"http://dbpedia.org/resource/Leonard_Marconi","Leonard Marconi","http://dbpedia.org/resource/Russian_Empire","http://dbpedia.org/resource/Aleksander_Fredro_Monument_in_Wrocław"
"http://dbpedia.org/resource/Leonard_Marconi","Leonard Marconi","http://dbpedia.org/resource/Russian_Empire","Façade of Galician Sejm"
"http://dbpedia.org/resource/Leonard_Marconi","Leonard Marconi","http://dbpedia.org/resource/Russian_Empire","Tadeusz Kościuszko Monument in Kraków"
"http://dbpedia.org/resource/Leonard_Marconi","Leonard Marconi","http://dbpedia.org/resource/Warsaw","http://dbpedia.org/resource/Aleksander_Fredro_Monument_in_Wrocław"
"http://dbpedia.org/resource/Leonard_Marconi","Leonard Marconi","http://dbpedia.org/resource/Warsaw","Façade of Galician Sejm"
"http://dbpedia.org/resource/Leonard_Marconi","Leonard Marconi","http://dbpedia.org/resource/Warsaw","Tadeusz Kościuszko Monument in Kraków"
"http://dbpedia.org/resource/Linda_Stein_(artist)","Linda Stein","The Bronx, New York US","The Fluidity of Gender & Holocaust Heroes: Fierce Females"
"http://dbpedia.org/resource/Louise_Bourgeois","Louise Bourgeois","Paris, France","Spider, Cells, Maman, Cumul I, The Destruction of the Father"
"http://dbpedia.org/resource/Silvio_Gazzaniga","Silvio Gazzaniga","http://dbpedia.org/resource/Kingdom_of_Italy","FIFA World Cup, UEFA Cup, UEFA Super Cup"
"http://dbpedia.org/resource/Silvio_Gazzaniga","Silvio Gazzaniga","http://dbpedia.org/resource/Milan","FIFA World Cup, UEFA Cup, UEFA Super Cup"
"http://dbpedia.org/resource/Robert_Stackhouse","Robert Stackhouse","http://dbpedia.org/resource/Bronxville,_New_York","Confluence"
"http://dbpedia.org/resource/Augusta_Savage","Augusta Savage","Green Cove Springs, Florida","Lift Every Voice and Sing"
"http://dbpedia.org/resource/Augusta_Savage","Augusta Savage","Green Cove Springs, Florida","Gamin"
"http://dbpedia.org/resource/Augusta_Savage","Augusta Savage","Green Cove Springs, Florida","W.E.B Dubois"
"http://dbpedia.org/resource/Bronwyn_Oliver","Bronwyn Oliver","Gum Flat, New South Wales, Australia",""
"http://dbpedia.org/resource/Bronwyn_Oliver","Bronwyn Oliver","Gum Flat, New South Wales, Australia","Vine"
"http://dbpedia.org/resource/Bronwyn_Oliver","Bronwyn Oliver","Gum Flat, New South Wales, Australia","Palm"
"http://dbpedia.org/resource/Bronwyn_Oliver","Bronwyn Oliver","Gum Flat, New South Wales, Australia","Globe"
"http://dbpedia.org/resource/Bronwyn_Oliver","Bronwyn Oliver","Gum Flat, New South Wales, Australia","Big Feathers"
"http://dbpedia.org/resource/Bruno_Zach","Bruno Zach","http://dbpedia.org/resource/Russian_Empire","The Hugger,"
"http://dbpedia.org/resource/Bruno_Zach","Bruno Zach","http://dbpedia.org/resource/Russian_Empire","The Riding Crop, 1925"
"http://dbpedia.org/resource/Bruno_Zach","Bruno Zach","http://dbpedia.org/resource/Volhynian_Governorate","The Hugger,"
"http://dbpedia.org/resource/Bruno_Zach","Bruno Zach","http://dbpedia.org/resource/Volhynian_Governorate","The Riding Crop, 1925"
"http://dbpedia.org/resource/Bruno_Zach","Bruno Zach","http://dbpedia.org/resource/Zhytomyr","The Hugger,"
"http://dbpedia.org/resource/Bruno_Zach","Bruno Zach","http://dbpedia.org/resource/Zhytomyr","The Riding Crop, 1925"
"http://dbpedia.org/resource/Abastenia_St._Leger_Eberle","Abastenia St. Leger Eberle","Webster City, Iowa, United States","Girl Skating"
"http://dbpedia.org/resource/Abastenia_St._Leger_Eberle","Abastenia St. Leger Eberle","Webster City, Iowa, United States","White Slave"
"http://dbpedia.org/resource/Adelaide_Johnson","Adelaide Johnson","Plymouth, Illinois","Portrait Monument to Lucretia Mott, Elizabeth Cady Stanton, and Susan B. Anthony, U.S. Capitol"
"http://dbpedia.org/resource/Adrien_Étienne_Gaudez","Adrien Étienne Gaudez","Lyon, France","http://dbpedia.org/resource/Antoine-Augustin_Parmentier"
"http://dbpedia.org/resource/Adrien_Étienne_Gaudez","Adrien Étienne Gaudez","Lyon, France","http://dbpedia.org/resource/Jean-Rodolphe_Perronet"
"http://dbpedia.org/resource/Adrien_Étienne_Gaudez","Adrien Étienne Gaudez","Lyon, France","Memorial statue of"
"http://dbpedia.org/resource/Adrien_Étienne_Gaudez","Adrien Étienne Gaudez","Lyon, France","Monumental statue of"
"http://dbpedia.org/resource/Eva_Aeppli","Eva Aeppli","Zofingen, Switzerland",""
"http://dbpedia.org/resource/Eva_Aeppli","Eva Aeppli","Zofingen, Switzerland","in museums:"
"http://dbpedia.org/resource/Eva_Aeppli","Eva Aeppli","Zofingen, Switzerland","Kunsthaus Zurich"
"http://dbpedia.org/resource/Eva_Aeppli","Eva Aeppli","Zofingen, Switzerland","Kunstmuseum Solothurn"
"http://dbpedia.org/resource/Eva_Aeppli","Eva Aeppli","Zofingen, Switzerland","Moderna Museet"
"http://dbpedia.org/resource/Eva_Aeppli","Eva Aeppli","Zofingen, Switzerland","Museum of Modern Art Vienna MUMOK"
"http://dbpedia.org/resource/Eva_Aeppli","Eva Aeppli","Zofingen, Switzerland","Musée National d'Art Moderne"
"http://dbpedia.org/resource/Eva_Aeppli","Eva Aeppli","Zofingen, Switzerland","Omaha, Nebraska  Collection Old Omaha Association"
"http://dbpedia.org/resource/Norma_Redpath","Norma Redpath","Melbourne, Australia","Treasury Fountain, Canberra"
"http://dbpedia.org/resource/Vernon_March","Vernon March","http://dbpedia.org/resource/United_Kingdom_of_Great_Britain_and_Ireland","http://dbpedia.org/resource/The_Cenotaph,_Cape_Town"
"http://dbpedia.org/resource/Vernon_March","Vernon March","http://dbpedia.org/resource/United_Kingdom_of_Great_Britain_and_Ireland","http://dbpedia.org/resource/Diamond_War_Memorial"
"http://dbpedia.org/resource/Vernon_March","Vernon March","http://dbpedia.org/resource/United_Kingdom_of_Great_Britain_and_Ireland","http://dbpedia.org/resource/National_War_Memorial_(Canada)"
